name,full_name,stars,forks,watchers,open_issues,size,has_wiki,has_projects,has_downloads,is_fork,archived,created_at,updated_at,pushed_at,language,license,subscribers_count,contributors_count,commits_count,readme_size
layui,layui/layui,30133,7416,30133,51,19107,0,1,1,0,0,2015-09-22T08:12:03Z,2025-05-03T19:03:11Z,2025-04-27T13:16:18Z,JavaScript,mit,30,30,30,3769
webtorrent,webtorrent/webtorrent,30117,2756,30117,74,46645,0,0,1,0,0,2013-10-15T08:16:40Z,2025-05-04T02:27:33Z,2025-05-01T18:51:07Z,JavaScript,mit,30,30,30,19217
netron,lutzroeder/netron,30104,2896,30104,21,63551,0,0,1,0,0,2010-12-26T12:53:43Z,2025-05-04T07:12:28Z,2025-05-03T16:01:30Z,JavaScript,mit,30,1,30,3119
croc,schollz/croc,30096,1199,30096,4,24933,0,0,1,0,0,2017-10-17T15:20:18Z,2025-05-03T23:59:11Z,2025-04-28T19:54:11Z,Go,mit,30,30,30,6709
editor.js,codex-team/editor.js,30095,2145,30095,670,20644,0,1,1,0,0,2015-11-28T20:56:35Z,2025-05-04T07:26:59Z,2025-04-30T16:52:33Z,TypeScript,apache-2.0,30,30,30,9416
paper-reading,mli/paper-reading,30085,2639,30085,1,9001,0,0,1,0,0,2021-10-22T06:34:51Z,2025-05-04T05:45:54Z,2025-03-22T03:49:35Z,,apache-2.0,30,9,30,81695
tiptap,ueberdosis/tiptap,30040,2461,30040,605,53289,0,1,1,0,0,2018-08-20T19:58:58Z,2025-05-04T06:12:08Z,2025-05-01T17:14:19Z,TypeScript,mit,30,30,30,7684
HEAD,joshbuchea/HEAD,30037,1922,30037,28,659,1,1,1,0,0,2016-04-20T20:05:37Z,2025-05-04T02:57:28Z,2024-06-21T17:54:29Z,,,30,30,30,25101
kafka,apache/kafka,30021,14341,30021,266,244598,0,1,1,0,0,2011-08-15T18:06:16Z,2025-05-04T03:01:05Z,2025-05-03T19:40:30Z,Java,apache-2.0,30,30,30,14073
fabric.js,fabricjs/fabric.js,29979,3569,29979,458,232441,1,1,1,0,0,2010-06-09T22:24:38Z,2025-05-03T21:42:09Z,2025-05-02T20:50:17Z,TypeScript,other,30,30,30,10111
stanford_alpaca,tatsu-lab/stanford_alpaca,29972,4052,29972,188,8654,1,1,1,0,0,2023-03-10T23:33:09Z,2025-05-03T09:31:35Z,2024-07-17T09:43:05Z,Python,apache-2.0,30,4,30,14463
sequelize,sequelize/sequelize,29961,4296,29961,964,72041,0,1,1,0,0,2010-07-22T07:11:11Z,2025-05-03T20:39:48Z,2025-05-04T02:11:54Z,TypeScript,mit,30,30,30,4838
influxdb,influxdata/influxdb,29955,3600,29955,2094,202778,0,1,1,0,0,2013-09-26T14:31:10Z,2025-05-04T06:59:29Z,2025-05-03T16:25:41Z,Rust,apache-2.0,30,30,30,4319
khoj,khoj-ai/khoj,29921,1668,29921,75,114755,0,1,1,0,0,2021-08-16T01:48:44Z,2025-05-04T07:37:55Z,2025-05-03T02:29:40Z,Python,agpl-3.0,30,30,30,4445
comprehensive-rust,google/comprehensive-rust,29918,1783,29918,133,25172,0,0,1,0,0,2022-12-21T15:17:24Z,2025-05-04T06:20:12Z,2025-05-01T18:17:44Z,Rust,apache-2.0,30,30,30,4707
Hello-Python,mouredev/Hello-Python,29886,1935,29886,23,5694,1,1,1,0,0,2022-08-03T17:14:53Z,2025-05-04T06:50:57Z,2025-02-28T12:39:35Z,Python,apache-2.0,30,1,30,12902
